patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
75a66981-4104-48b5-a34d-b7c5760debbb,Nam Dương,122489300760,13/04/2001,0817857980,johnduong@example.com,"JanePhường
43 Dương Ngõ, 348728",Tim mạch,3.93,Khoa Phú Hoàng,23/02/2026
fa5a91ca-059d-455d-8b94-3e30b303f438,Hạnh Văn Hoàng,142493265959,24/08/1998,0990411866,hoangjane@example.com,"5 John Khu
Thành phố JohnHuyện, 926918",Tiểu đường,4.26,Ông Nhiên Đặng,12/05/2026
53a3dd5a-4b8c-4bdc-a8dd-5e5a1712fb16,Bảo Hoàng Lê,427347417522,28/11/1992,0960913461,jane24@example.com,"JaneThành phố
236 Trần Số, 114594",Huyết áp cao,9.55,Tùng Trần,23/03/2026
431d029f-ac1e-46d8-bfbf-397bac3e7b0d,Hải Phú Trần,693964371508,03/10/1984,0510383372,nnguyen@example.net,"1 Vũ Số
Quận JohnThành phố, 419149",Tim mạch,6.56,Ông Tú Phạm,09/06/2026
5efa9c5b-7421-4f46-a37e-4b0122bae10e,Khoa Trí Bùi,361081537776,21/04/1983,0306714098,ahoang@example.com,"773 Trần Tổ
JohnThị xã, 389282",Khỏe mạnh,4.56,Cô Ánh Dương,17/01/2026
98de8ebb-a3b5-4ece-a446-be72364c911a,Ngọc Đặng,412615538272,10/04/1953,0551496876,johntran@example.net,"529 Jane Hẻm
Huyện JohnThành phố, 793169",Khỏe mạnh,5.86,Lan Nguyễn,06/03/2026
52e2afd9-96bf-40ab-bce9-15e7c9d6a63b,Lan Vũ,744682058679,27/04/1939,0327293755,hmai@example.net,"89 Jane Làng
Huyện JanePhường, 132663",Khỏe mạnh,8.42,Chi Bùi,18/03/2026
e8e22743-b65f-4ea9-bd82-42641ba362e7,Ông Vũ Đặng,275536485003,25/11/1979,0985812075,lejane@example.net,"98 Dương Số
Thành phố JohnThị xã, 573489",Huyết áp cao,5.79,Quý cô Linh Dương,13/03/2026
6d4067f4-5003-4b35-9857-8bafbac7e2b9,Anh Phú Lê,614318236221,19/08/1985,0572220991,ftran@example.org,"5 John Tổ
Thị xã JanePhường, 886730",Tiểu đường,3.83,Nhật Thị Vũ,19/04/2026
81e5c9f6-93f2-47cc-9a85-910d5a057c11,Chị Dương Dương,244998620566,12/11/1951,0900082529,dangjane@example.org,"89 Jane Đường
Huyện JaneHuyện, 468074",Tiểu đường,9.59,Lan Lê,12/04/2026
bdb025ff-2451-45a4-91d0-59b26699cd99,Hương Mai,445983420973,14/03/1951,0811711161,vduong@example.org,"9 John Hẻm
Thành phố JohnHuyện, 564637",Tiểu đường,10.3,Nhật Mai Bùi,19/02/2026
585d3f86-1d23-44e6-8329-20b7c143f426,Hà Thế Hoàng,446046087877,07/01/1971,0876812243,john36@example.net,"32 Vũ Tổ
Thành phố JanePhường, 551574",Tim mạch,9.99,Chị Kim Mai,07/05/2026
ab05347f-d556-437d-8f08-81ee8011316b,Vũ Hữu Nguyễn,675162476264,04/05/1967,0380925369,utran@example.net,"6 Trần Số
Huyện JohnXã, 582446",Tim mạch,3.7,Vũ Bảo Trần,13/02/2026
1422373f-8622-48d1-a683-e10796c044d0,Hạnh Tấn Phạm,550460495703,22/10/1959,0956352172,johnmai@example.net,"52 John Hẻm
JohnQuận, 731661",Tim mạch,10.03,Cô Bảo Dương,25/03/2026
72eb7474-9458-454e-8287-4f069050f7ef,Dũng Trí Dương,184567953345,23/06/1940,0765074709,yvu@example.com,"1 Dương Dãy
Thành phố JaneHuyện, 180458",Khỏe mạnh,4.31,Khoa Hoàng,02/04/2026
f4488385-8de7-4d6c-9490-77c27674456f,Chi Hoàng,264214426371,29/01/1983,0584844735,jane82@example.org,"1 John Làng
JaneXã, 648141",Khỏe mạnh,5.03,Bà Thành Vũ,11/03/2026
990f0c5b-adcc-4daf-969f-3ab3c6435300,Vi Đặng,708361995232,21/04/1940,0991425767,maijane@example.com,"19 Jane Khu
JohnXã, 843266",Tiểu đường,7.62,Hạnh Mai,09/03/2026
20b71785-d02c-40c1-9417-0a17caaa5bbe,Hải Bùi,745651176722,12/08/1972,0989014116,dangjane@example.org,"33 John Ngõ
JohnXã, 908320",Huyết áp cao,8.21,Dương Đặng,07/06/2026
6070b6a1-98e5-4499-a18c-6e1c9e374f7a,Chị Bảo Hoàng,369289631348,22/07/1994,0344047306,janenguyen@example.com,"94 Phạm Làng
JaneQuận, 485709",Tim mạch,10.22,Quý ông Khoa Bùi,01/04/2026
d11fc8c0-297c-44ff-b75d-599f6b2d5b09,Chị Ánh Vũ,561870534946,21/04/1939,0700229169,jdang@example.org,"12 Dương Hẻm
JohnQuận, 956375",Tiểu đường,4.93,Bác Nam Bùi,10/01/2026
62dbc850-3c5b-43a7-9fbb-f0b1808389c8,Thành Phạm,169989818941,20/07/1937,0504720090,dangjohn@example.org,"2 Dương Đường
Thành phố JaneQuận, 975522",Tim mạch,11.66,Quý cô Hà Vũ,12/02/2026
6b79afcc-3d0a-4f0c-8c39-4ec71f317405,Ông Tú Dương,931021864981,21/01/1979,0927530744,maijohn@example.net,"953 Lê Ngõ
JohnXã, 670511",Tim mạch,4.16,Hồng Dương,08/01/2026
40ef3935-5f90-4ed6-bb25-664d630aa767,Linh Trần,266394201492,30/08/1960,0813162176,hoangjane@example.org,"2 Dương Hẻm
Thành phố JaneThành phố, 407696",Khỏe mạnh,6.49,Cô Vi Phạm,09/06/2026
83f02dc7-4f61-4217-aef1-669450cae32d,Phương Mai Bảo Vũ,927200738691,02/03/1938,0853547855,janedang@example.org,"15 Bùi Dãy
JaneQuận, 620306",Khỏe mạnh,10.19,Bác Minh Vũ,25/05/2026
6e3c4532-1434-4f62-acac-028cba220065,Bà Thành Trần,571787276139,03/05/1941,0707043099,jane79@example.net,"70 Hoàng Số
JohnThành phố, 803787",Huyết áp cao,7.11,Thành Xuân Nguyễn,26/01/2026
702c1821-c804-4fb7-ad97-3b679b89e5cb,Lan Trần,631664427762,20/09/1952,0569294656,jane69@example.org,"57 John Tổ
JanePhường, 392227",Tim mạch,10.79,Cô Ngọc Lê,31/03/2026
1e2595b8-8fc9-486b-a9dd-ebf563119aca,Anh Dương,826081752448,27/02/1951,0750449534,jane31@example.org,"715 Trần Khu
JohnPhường, 844031",Tiểu đường,6.17,Bà Phương Phạm,22/01/2026
3c9abe10-238d-4f44-8ac4-d0eb3373730e,Ông Quang Mai,020412206395,09/04/1977,0776505539,imai@example.net,"67 Bùi Ngõ
Huyện JohnThị xã, 588461",Huyết áp cao,10.34,Hoàng Xuân Lê,19/03/2026
d4d60735-0e2f-4958-9e43-1e06e9247069,Phương Lê,955289037529,11/09/1957,0399844683,janepham@example.com,"438 Lê Khu
Quận JohnQuận, 790731",Khỏe mạnh,9.39,Nhiên Thị Nguyễn,15/01/2026
93a74792-c561-48dc-a436-4fcdf2d3f761,Trung Hoàng,887692983271,26/11/1965,0844721118,duongjane@example.net,"647 John Hẻm
JaneThị xã, 587002",Huyết áp cao,6.86,Bà Duyên Lê,26/02/2026
fcef1972-bbf4-43ce-91be-b80eb7e6a14c,Thành Trí Đặng,689496307459,01/02/1973,0977628156,dangjohn@example.com,"210 Bùi Số
Quận JaneXã, 856157",Huyết áp cao,4.03,Trung Xuân Dương,29/06/2026
4efc8248-e10b-4a47-bfae-b7487781321e,Ông Vũ Bùi,389779828248,23/05/1972,0728446206,johnhoang@example.com,"97 Mai Đường
Thị xã JohnHuyện, 862847",Tim mạch,7.46,Thành Phú Nguyễn,14/03/2026
5cce5ba9-31d4-4e09-8fd3-3afc91fdfa4f,Vũ Bùi,283994416660,21/04/1972,0586728937,john21@example.com,"5 John Số
Thành phố JohnQuận, 848255",Tiểu đường,7.78,Châu Mai Lê,20/04/2026
ee6e2e72-53f5-41dc-a3c8-afdb83f82f16,Phúc Hữu Hoàng,642263881939,19/06/1989,0820564550,jane88@example.net,"05 Trần Số
JohnXã, 597643",Tiểu đường,5.7,Nhiên Hoàng,10/02/2026
2ba6adb3-7afe-4114-9561-c8130d259caa,Bảo Hải Nguyễn,187073866545,17/04/1977,0584263456,phamjohn@example.com,"36 Nguyễn Hẻm
Huyện JaneXã, 495129",Khỏe mạnh,6.66,Phúc Mai Mai,03/03/2026
de1e994a-c5a1-4f5c-ad05-b9125ab28d4a,Trọng Dương,687617873121,12/07/1949,0963965410,janemai@example.com,"37 Dương Tổ
JaneThành phố, 701334",Tim mạch,5.48,Kim Phú Lê,22/02/2026
143b45e3-b6d1-46bb-b48f-709c49a22441,Bảo Đức Dương,032471786971,11/02/1951,0911340411,jane21@example.net,"083 John Ngõ
JanePhường, 595351",Khỏe mạnh,7.61,Hải Lê,01/01/2026
286ed390-edd9-4a1a-ba58-5b278ce3e7c3,Hải Mai Bảo Dương,265284421738,25/12/1982,0994928242,jane40@example.org,"0 Jane Hẻm
Thị xã JaneQuận, 885386",Huyết áp cao,6.33,Hưng Nguyễn,23/02/2026
fba57cc8-edaf-4766-9b78-0ede9a4ffc0c,Khoa Mai Mai,606778624655,08/10/1973,0968911244,janevu@example.org,"742 Jane Khu
Quận JaneThị xã, 640310",Tim mạch,6.4,Vũ Hữu Trần,03/02/2026
ef9240b6-52d7-4f10-ba3a-6e9623ff23d3,Cô Thảo Bùi,507847587898,07/09/1952,0986409665,jane49@example.net,"5 John Ngõ
JaneQuận, 525110",Tim mạch,10.21,Tú Vũ,08/03/2026
22319050-f515-4494-b818-cfd33889936a,Anh Bảo Hoàng,763931217749,08/10/1962,0321724125,zmai@example.net,"9 Jane Tổ
Thành phố JohnXã, 630041",Khỏe mạnh,4.28,Chị Lan Đặng,03/06/2026
3495311e-ae27-4432-9dc1-e7eb711c7673,Ông Minh Dương,928961370019,12/07/1994,0701790328,gle@example.com,"7 Nguyễn Số
JohnPhường, 328486",Tiểu đường,5.29,An Bùi,04/03/2026
0f6ce9bf-fe7e-4362-8a89-b0f0105291d3,Nhật Nguyễn,513493161824,13/06/1956,0963267685,johnbui@example.com,"JaneThị xã
825 John Số, 654531",Tim mạch,6.34,Chị An Nguyễn,26/06/2026
8b60c511-b816-4aeb-ac6a-7c8576876c62,Phương Hữu Phạm,734926710423,24/07/1953,0573224121,john43@example.net,"6 John Làng
Thành phố JohnThị xã, 726822",Tiểu đường,8.76,Mai Nguyễn,14/03/2026
c11f6bf5-379e-4467-8a2d-b2e63bfda8a6,Lan Mai,398131829745,08/01/2008,0920044760,janehoang@example.net,"428 Jane Khu
JohnXã, 720407",Tim mạch,9.0,Quý cô Phương Dương,09/01/2026
abdd1a8f-a4b0-4c89-b10b-ce9c582b91ee,Phương Tấn Bùi,289110217631,18/04/1965,0866464692,jane28@example.com,"27 Jane Số
Thị xã JohnHuyện, 313214",Khỏe mạnh,9.37,Vũ Mai Đặng,17/01/2026
0d31812e-30c3-4756-9453-f867b97e6224,Thành Hoàng,209113777826,05/07/1979,0835946611,phamjohn@example.com,"03 John Dãy
Quận JaneQuận, 678897",Tim mạch,7.8,Khoa Hữu Dương,07/04/2026
5c11ab6d-42f5-43f5-8ef4-c34d5bf86f3c,Quý ông Tú Dương,481364209185,04/02/1991,0519144103,john55@example.com,"2 Jane Số
JohnQuận, 445888",Khỏe mạnh,3.93,Quý cô Duyên Phạm,31/03/2026
566a9ce7-af52-4b94-b186-e47aa7946320,Châu Dương,120948282573,18/02/1969,0719907687,john28@example.com,"0 John Đường
JohnPhường, 342675",Khỏe mạnh,9.21,Nhật Lê,02/01/2026
0f79a8a7-5f8a-44bd-b4bd-0c938177b661,Quý ông Nam Nguyễn,690744335600,06/05/1974,0367384364,bnguyen@example.net,"862 John Hẻm
Quận JaneHuyện, 380310",Tim mạch,7.24,Hà Phú Bùi,24/03/2026
39d1c7ff-b27e-4442-bd7f-e9733e42df5b,Vũ Nguyễn,069112727373,27/04/1942,0332555727,jbui@example.com,"2 Jane Số
JohnXã, 144618",Tim mạch,9.61,Chị Xuân Hoàng,27/03/2026
af36b8cc-1308-4974-ac95-b3ac0beb7c34,Tùng Hoàng,324639969980,15/07/1983,0380241987,janenguyen@example.org,"429 Jane Tổ
JohnPhường, 859340",Tim mạch,5.88,Phương Đặng,10/01/2026
1375ee90-d6b3-41e4-bb6d-ca0d6fe5040b,Trọng Hữu Đặng,063824073035,27/08/1937,0384441490,jane73@example.com,"29 Trần Khu
Thành phố JohnHuyện, 261712",Tiểu đường,9.57,Nhật Trí Bùi,27/02/2026
f165d779-0154-4950-976d-e21f1b46ebdc,Bảo Đặng,570839494262,27/01/1991,0950980977,lejohn@example.org,"015 Jane Số
Huyện JaneThị xã, 917018",Huyết áp cao,3.75,Nhật Mai,12/06/2026
85671b58-926b-4fa5-be24-5fbffa698cd2,Quý cô Bảo Lê,192033862231,15/02/1955,0716310875,jane21@example.org,"71 Vũ Làng
JohnThị xã, 212168",Tiểu đường,5.6,Bà An Bùi,01/03/2026
dcb9075e-cdd7-4460-a140-77d39ec4ea48,Bảo Tấn Bùi,804575967569,09/01/1995,0840173204,janedang@example.net,"52 Đặng Khu
JohnHuyện, 494322",Tiểu đường,6.4,Thành Đặng,21/01/2026
ff4cc10f-979c-40cf-b326-1887905881df,Cô Nhật Dương,859270947363,01/05/2004,0944487755,janevu@example.net,"7 Jane Làng
JohnPhường, 543681",Tiểu đường,6.91,Hà Mai Hoàng,28/03/2026
ec6a37ad-81b1-4db9-88cc-4d49669b29b8,Phương Thị Đặng,187838748416,18/09/1986,0557435835,tranjohn@example.net,"9 Jane Tổ
JohnThành phố, 203396",Khỏe mạnh,10.99,Quang Mai,15/05/2026
9342a09f-b00a-464c-949c-d8d48ed8a80d,Quý cô Linh Bùi,152335900361,19/04/1969,0515389399,janenguyen@example.com,"125 Đặng Dãy
Thị xã JaneThị xã, 202365",Huyết áp cao,7.2,Quý ông Dũng Trần,24/02/2026
05c8234b-1d76-4a66-b5f5-9cb0cf685878,Tú Xuân Phạm,467014283821,28/02/1973,0952889546,janemai@example.com,"22 Bùi Đường
Thị xã JaneThị xã, 104666",Huyết áp cao,9.18,Chị Thảo Trần,14/04/2026
2fdc9992-8971-4eea-9f3a-098accac2fb5,Dũng Hoàng Dương,104848196906,24/10/1943,0707646564,omai@example.com,"1 Đặng Dãy
Huyện JohnPhường, 240454",Tim mạch,10.26,Tú Hải Vũ,22/01/2026
82c56b21-2430-42da-b185-0eb85f90fc87,Kim Trí Hoàng,036802622880,04/07/1963,0934107953,janemai@example.net,"2 Vũ Hẻm
Huyện JaneXã, 156215",Huyết áp cao,9.09,Nam Mai Bảo Lê,05/02/2026
816462cb-8fc3-47d3-b6bd-80c7624a2a50,Quý ông Châu Bùi,861398198018,03/05/1987,0388859078,kduong@example.org,"04 Jane Hẻm
JaneXã, 635618",Tiểu đường,8.14,Khoa Trần,18/02/2026
5deaa737-fdab-4441-92c2-a9608b0901ab,Vi Dương,990920833823,18/05/1975,0970925829,vtran@example.net,"745 Jane Ngõ
Quận JanePhường, 739905",Tiểu đường,10.05,Bảo Trí Phạm,27/05/2026
59cf0b0d-91f0-447d-8f32-1333ce315937,Trọng Mai,759437033337,14/10/1947,0955389365,jane94@example.net,"Quận JaneThành phố
2 John Hẻm, 845951",Tim mạch,9.06,Quang Hữu Dương,26/01/2026
6a0aa7d5-a0b8-4755-84ca-a5a2a1e518a2,Nhật Quang Trần,392505075585,25/11/1964,0353744715,jane77@example.com,"7 Trần Số
Thị xã JohnThị xã, 381581",Huyết áp cao,4.08,Khoa Tấn Mai,15/04/2026
c9ce44bd-7c3f-4add-9a38-5db590eeb067,Hưng Thị Trần,986991200074,16/03/1981,0792501932,hnguyen@example.org,"32 Lê Khu
Huyện JaneThành phố, 489906",Huyết áp cao,4.83,Cô Kim Vũ,11/05/2026
a7cde143-6de2-4429-bbf0-d9c1c156e501,Nhật Trần,347906553669,28/07/1935,0867229803,itran@example.net,"051 Lê Dãy
Quận JaneThành phố, 866260",Tiểu đường,4.24,Hà Đặng,08/03/2026
c601818b-61fa-41ba-a31a-e7c74c9bff5c,Chị Hà Mai,314130944729,12/08/1976,0797694205,janedang@example.net,"97 John Ngõ
Thành phố JaneHuyện, 550246",Tim mạch,11.26,Hoàng Hải Vũ,27/04/2026
999a1d86-99db-4302-8dab-66d33f87dfc2,Nam Vũ,585817545994,29/06/1950,0742635982,janevu@example.net,"61 Jane Ngõ
Huyện JaneQuận, 505629",Huyết áp cao,11.18,Thành Xuân Dương,21/06/2026
965d744f-0445-41a8-92af-97e4c536c66e,An Vũ,134759712259,30/03/1951,0780936430,buijane@example.net,"61 Jane Ngõ
JohnXã, 313068",Tim mạch,6.09,Bà Kim Hoàng,25/04/2026
a4a5c736-ae59-4a52-a65b-e22bd5a386d9,Hạnh Bùi,986942195509,12/10/1988,0724546526,johnpham@example.org,"99 Jane Hẻm
Thành phố JohnPhường, 111901",Khỏe mạnh,8.69,Quý cô Thành Mai,04/04/2026
2abe1585-425e-4259-b884-16d2d28fcf68,Hoàng Đức Trần,597044344405,23/10/1991,0309595175,dangjane@example.com,"9 Jane Dãy
JohnThị xã, 694423",Tiểu đường,10.9,Bà Bảo Vũ,20/05/2026
b90800f3-ac93-481a-92eb-eab0e4eec67c,Lâm Mai,611088711097,06/09/1935,0809786578,phamjohn@example.com,"086 Jane Làng
JaneHuyện, 966120",Khỏe mạnh,8.55,Khoa Đặng,22/01/2026
2de982f8-0d7b-4c04-a6e5-9b32ac5f12ef,Cô Hồng Trần,468461121175,08/07/1999,0381583495,jane51@example.net,"494 Jane Tổ
JohnPhường, 673108",Huyết áp cao,10.85,Chị Ngọc Bùi,05/01/2026
d6ee526b-a2cd-4590-98af-393c8aa2b4c9,Linh Nguyễn,540348522268,24/11/1990,0732235016,gvu@example.org,"70 Jane Ngõ
Quận JanePhường, 490586",Khỏe mạnh,10.43,Ông Nhiên Trần,01/04/2026
13281726-64f4-44d6-91e9-1691a3209116,Hồng Lê,263813920762,11/10/1952,0346278014,jane65@example.com,"329 John Ngõ
Thị xã JaneHuyện, 526259",Tiểu đường,9.75,Phương Đặng,23/06/2026
769de1e3-4eed-4124-b3b0-d6763527a5c8,Tú Trần,890607899737,31/12/1946,0532948288,john35@example.org,"68 Jane Khu
Thành phố JaneThị xã, 682959",Tiểu đường,5.24,Cô Chi Trần,25/05/2026
0fc98d2e-030f-4be9-9f17-8f9323c97a1e,Chị Mai Bùi,006337390123,01/09/1962,0856688254,hoangjane@example.org,"721 Trần Đường
JohnQuận, 701761",Tiểu đường,9.19,Nhật Hữu Dương,06/01/2026
5a9c0679-2c3d-47e2-ad39-da75aee70ab2,Chị Thảo Vũ,272477158186,20/01/1968,0804153505,johnhoang@example.net,"68 Nguyễn Ngõ
JaneQuận, 539599",Huyết áp cao,11.52,Chị Dương Mai,24/05/2026
b69f75c5-c82b-41be-a1eb-64e6fd498e20,Châu Mai Bảo Đặng,989365492331,13/02/2002,0548174678,jane42@example.org,"407 Hoàng Làng
Thành phố JohnPhường, 352867",Tim mạch,3.91,Tùng Nguyễn,18/05/2026
d8b48ead-9360-4edf-b82b-5b86f2a32efd,Thành Xuân Lê,032412682514,05/10/1952,0936428776,jane90@example.net,"3 Mai Khu
Thị xã JohnThành phố, 158896",Tim mạch,8.38,Chị Ngọc Mai,28/03/2026
